ServiceID,CustomerID,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies
14151,0107-YHINA,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
14152,0111-KLBQG,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
14153,0112-QAWRZ,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
14154,0112-QWPNC,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
14155,0114-IGABW,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
14156,0114-PEGZZ,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14157,0114-RSRRW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14158,0115-TFERT,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
14159,0117-LFRMW,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
14160,0118-JPNOY,Yes,No,Fiber optic,Yes,No,No,No,Yes,No
14161,0121-SNYRK,No,No phone service,DSL,Yes,No,No,Yes,No,No
14162,0122-OAHPZ,Yes,Yes,Fiber optic,No,No,No,No,No,No
14163,0123-CRBRT,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14164,0125-LZQXK,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
14165,0128-MKWSG,No,No phone service,DSL,Yes,No,No,Yes,No,Yes
14166,0129-KPTWJ,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
14167,0129-QMPDR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14168,0130-SXOUN,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
14169,0133-BMFZO,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No
14170,0134-XWXCE,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
14171,0135-NMXAP,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
14172,0136-IFMYD,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
14173,0137-OCGAB,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
14174,0137-UDEUO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14175,0139-IVFJG,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
14176,0141-YEAYS,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
14177,0142-GVYSN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14178,0147-ESWWR,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
14179,0148-DCDOS,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
14180,0151-ONTOV,Yes,No,Fiber optic,No,No,No,No,No,No
14181,0156-FVPTA,Yes,No,DSL,Yes,No,No,Yes,No,No
14182,0164-APGRB,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14183,0164-XAIRP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14184,0168-XZKBB,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
14185,0174-QRVVY,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14186,0177-PXBAT,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
14187,0178-CIIKR,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14188,0178-SZBHO,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
14189,0181-RITDD,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14190,0186-CAERR,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14191,0187-QSXOE,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
14192,0187-WZNAB,Yes,No,Fiber optic,Yes,No,No,No,No,No
14193,0188-GWFLE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14194,0191-EQUUH,No,No phone service,DSL,Yes,No,No,Yes,No,No
14195,0191-ZHSKZ,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
14196,0193-ESZXP,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
14197,0195-IESCP,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
14198,0196-JTUQI,Yes,Yes,Fiber optic,No,No,No,No,No,No
14199,0196-VULGZ,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
14200,0197-PNKNK,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
14201,0201-MIBOL,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
14202,0201-OAMXR,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14203,0203-HHYIJ,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14204,0206-OYVOC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14205,0206-TBWLC,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14206,0207-MDKNV,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
14207,0208-BPQEJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14208,0212-ISBBF,No,No phone service,DSL,No,Yes,No,No,Yes,Yes
14209,0214-JHPFW,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes
14210,0215-BQKGS,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No
14211,0218-QNVAS,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
14212,0219-QAERP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14213,0219-YTZUE,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
14214,0220-EBGCE,Yes,No,Fiber optic,No,No,Yes,No,No,Yes
14215,0221-NAUXK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14216,0221-WMXNQ,Yes,No,Fiber optic,Yes,No,No,No,No,No
14217,0222-CNVPT,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
14218,0224-HJAPT,Yes,Yes,DSL,No,No,No,No,No,No
14219,0224-NIJLP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14220,0224-RLWWD,Yes,No,DSL,No,No,No,No,No,No
14221,0225-ZORZP,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
14222,0228-MAUWC,Yes,Yes,DSL,No,No,Yes,Yes,No,No
14223,0229-LFJAF,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
14224,0230-UBYPQ,No,No phone service,DSL,Yes,No,No,Yes,No,No
14225,0230-WEQUW,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
14226,0231-LXVAP,Yes,No,Fiber optic,No,No,No,Yes,No,No
14227,0233-FTHAV,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
14228,0234-TEVTT,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
14229,0235-KGSLC,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
14230,0236-HFWSV,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
14231,0237-YFUTL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
14232,0238-WHBIQ,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14233,0239-OXEXL,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
14234,0244-LGNFY,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14235,0247-SLUJI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14236,0248-IPDFW,Yes,Yes,DSL,No,No,No,No,No,No
14237,0248-PGHBZ,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
14238,0253-ZTEOB,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes
14239,0254-FNMCI,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14240,0254-KCJGT,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
14241,0254-WWRKD,Yes,No,DSL,No,Yes,No,No,No,No
14242,0256-LTHVJ,Yes,No,Fiber optic,No,No,No,No,No,Yes
14243,0257-KXZGU,Yes,Yes,DSL,No,Yes,Yes,No,No,No
14244,0257-ZESQC,Yes,No,Fiber optic,Yes,No,No,No,No,No
14245,0258-NOKBL,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
14246,0259-GBZSH,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
14247,0260-ZDLGK,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
14248,0263-FJTQO,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No
14249,0264-CNITK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14250,0265-EDXBD,Yes,Yes,Fiber optic,No,No,No,No,No,No
14251,0265-PSUAE,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
14252,0266-CLZKZ,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
14253,0266-GMEAO,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14254,0268-QKIWO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14255,0269-XFESX,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14256,0270-THENM,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
14257,0274-JKUJR,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
14258,0277-BKSQP,Yes,No,DSL,No,No,No,No,Yes,No
14259,0277-ORXQS,No,No phone service,DSL,No,No,No,Yes,Yes,Yes
14260,0278-YXOOG,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14261,0280-XJGEX,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14262,0281-CNTZX,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14263,0282-NVSJS,No,No phone service,DSL,No,No,No,Yes,No,No
14264,0285-INHLN,Yes,No,DSL,Yes,Yes,No,No,No,No
14265,0289-IVARM,Yes,No,DSL,Yes,Yes,Yes,No,No,No
14266,0292-WEGCH,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
14267,0295-PPHDO,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
14268,0295-QVKPB,Yes,No,DSL,No,No,Yes,Yes,Yes,No
14269,0297-RBCSG,Yes,No,DSL,No,Yes,No,Yes,No,Yes
14270,0298-XACET,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,No
14271,0301-FIDRB,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14272,0301-KOBTQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14273,0302-JOIVN,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
14274,0303-UNCIP,Yes,Yes,DSL,No,No,Yes,No,No,Yes
14275,0303-WMMRN,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14276,0305-SQECB,No,No phone service,DSL,Yes,No,No,Yes,No,No
14277,0306-JAELE,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
14278,0307-BCOPK,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14279,0308-GIQJT,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
14280,0308-IVGOK,No,No phone service,DSL,No,Yes,Yes,Yes,No,No
14281,0310-MVLET,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
14282,0310-SUCIN,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14283,0310-VQXAM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14284,0311-QYWSS,Yes,No,DSL,Yes,No,No,No,No,No
14285,0311-UNPFF,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
14286,0314-TKOSI,Yes,No,DSL,Yes,Yes,No,No,No,No
14287,0315-LVCRK,Yes,No,Fiber optic,No,No,Yes,No,No,Yes
14288,0318-QUUOB,Yes,No,Fiber optic,No,No,No,No,Yes,No
14289,0318-ZOPWS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14290,0319-QZTCO,Yes,No,DSL,No,Yes,No,No,Yes,No
14291,0320-DWVTU,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
14292,0320-JDNQG,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes
14293,0322-CHQRU,Yes,No,DSL,No,No,No,No,No,No
14294,0322-YINQP,Yes,No,DSL,Yes,No,No,No,No,No
14295,0323-XWWTN,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14296,0324-BRPCJ,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
14297,0325-XBFAC,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
14298,0326-VDYXE,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
14299,0327-WFZSY,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
14300,0328-GRPMV,Yes,No,Fiber optic,No,No,No,No,No,No
14301,0329-GTIAJ,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes
14302,0330-BGYZE,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14303,0330-IVZHA,Yes,No,Fiber optic,No,No,No,No,No,No
14304,0334-GDDSO,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
14305,0334-ZFJSR,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
14306,0336-KXKFK,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
14307,0336-PIKEI,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
14308,0337-CNPZE,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14309,0343-QLUZP,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
14310,0345-HKJVM,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
14311,0345-XMMUG,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
14312,0347-UBKUZ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14313,0348-SDKOL,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
14314,0354-VXMJC,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14315,0354-WYROK,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
14316,0356-ERHVT,Yes,No,DSL,No,No,No,No,No,No
14317,0356-OBMAC,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No
14318,0357-NVCRI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14319,0361-HJRDX,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14320,0362-RAOQO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14321,0362-ZBZWJ,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
14322,0363-QJVFX,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
14323,0363-SVHYR,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
14324,0365-BZUWY,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14325,0365-GXEZS,Yes,No,Fiber optic,No,No,Yes,Yes,No,No
14326,0365-TRTPY,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
14327,0366-NQSHS,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14328,0369-ZGOVK,Yes,No,Fiber optic,No,No,No,No,No,No
14329,0373-AIVNJ,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
14330,0374-AACSZ,Yes,No,DSL,Yes,No,No,No,No,No
14331,0374-FIUCA,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14332,0374-IOEGQ,Yes,No,DSL,No,No,No,No,No,No
14333,0375-HVGXO,No,No phone service,DSL,No,No,No,No,Yes,No
14334,0376-OIWME,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes
14335,0376-YMCJC,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No
14336,0377-JBKKT,Yes,No,DSL,Yes,Yes,No,Yes,No,No
14337,0378-CJKPV,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14338,0378-NHQXU,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
14339,0378-TOVMS,Yes,No,Fiber optic,No,No,No,Yes,No,Yes
14340,0378-XSZPU,Yes,No,DSL,Yes,Yes,Yes,No,No,No
14341,0379-DJQHR,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes
14342,0380-NEAVX,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
14343,0380-ZCSBI,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14344,0383-CLDDA,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
14345,0384-LPITE,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
14346,0384-RVBPI,Yes,No,DSL,Yes,No,Yes,No,No,Yes
14347,0386-CWRGM,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14348,0388-EOPEX,Yes,No,Fiber optic,Yes,No,No,No,No,No
14349,0390-DCFDQ,Yes,No,Fiber optic,No,No,No,No,No,No
14350,0392-BZIUW,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
14351,0394-YONDK,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14352,0396-HUJBP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14353,0396-UKGAI,Yes,No,DSL,No,Yes,No,Yes,No,No
14354,0396-YCHWO,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
14355,0397-GZBBC,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
14356,0397-ZXWQF,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14357,0401-WDBXM,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
14358,0402-CQAJN,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
14359,0402-OAMEN,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14360,0404-AHASP,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14361,0404-SWRVG,Yes,Yes,Fiber optic,No,No,No,No,No,No
14362,0406-BPDVR,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
14363,0407-BDJKB,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
14364,0409-WTMPL,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
14365,0410-IPFTY,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
14366,0411-EZJZE,Yes,Yes,DSL,No,No,No,No,Yes,No
14367,0412-UCCNP,Yes,No,DSL,Yes,No,Yes,Yes,No,No
14368,0415-MOSGF,Yes,No,DSL,No,No,No,No,No,No
14369,0419-YAAPX,Yes,No,Fiber optic,No,Yes,No,No,Yes,No
14370,0420-BWTPW,No,No phone service,DSL,No,No,No,No,No,No
14371,0420-HLGXF,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
14372,0420-TXVSG,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No
14373,0422-OHQHQ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14374,0422-UXFAP,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
14375,0423-UDIJQ,Yes,No,DSL,No,No,No,Yes,No,No
14376,0426-TIRNE,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14377,0428-AXXLJ,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14378,0428-IKYCP,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
14379,0430-IHCDJ,Yes,Yes,DSL,No,No,No,No,No,No
14380,0431-APWVY,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
14381,0432-CAJZV,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
14382,0434-CSFON,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
14383,0436-TWFFZ,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
14384,0439-IFYUN,Yes,No,Fiber optic,No,Yes,No,No,No,No
14385,0440-EKDCF,Yes,No,DSL,No,Yes,Yes,Yes,No,No
14386,0440-MOGPM,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes
14387,0440-QEXBZ,Yes,Yes,DSL,No,No,No,No,No,No
14388,0440-UEDAI,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes
14389,0442-TDYUO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14390,0442-ZXKVS,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
14391,0447-BEMNG,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
14392,0447-RXSGD,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
14393,0454-OKRCT,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
14394,0455-ENTCR,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
14395,0455-XFASS,Yes,No,Fiber optic,No,No,No,No,No,No
14396,0458-HEUZG,No,No phone service,DSL,No,No,Yes,Yes,No,No
14397,0459-SPZHJ,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
14398,0461-CVKMU,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No
14399,0463-TXOAK,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
14400,0463-WZZKO,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
