ContractID,CustomerID,Contract,PaperlessBilling,PaymentMethod
21222,0148-DCDOS,Month-to-month,Yes,Bank transfer (automatic)
21223,0151-ONTOV,Month-to-month,No,Mailed check
21224,0156-FVPTA,Month-to-month,Yes,Electronic check
21225,0164-APGRB,Two year,Yes,Electronic check
21226,0164-XAIRP,Two year,Yes,Bank transfer (automatic)
21227,0168-XZKBB,Month-to-month,Yes,Electronic check
21228,0174-QRVVY,Two year,No,Credit card (automatic)
21229,0177-PXBAT,Month-to-month,Yes,Bank transfer (automatic)
21230,0178-CIIKR,Month-to-month,No,Mailed check
21231,0178-SZBHO,Month-to-month,No,Electronic check
21232,0181-RITDD,Two year,No,Mailed check
21233,0186-CAERR,One year,Yes,Bank transfer (automatic)
21234,0187-QSXOE,Month-to-month,Yes,Electronic check
21235,0187-WZNAB,Month-to-month,No,Mailed check
21236,0188-GWFLE,Month-to-month,No,Mailed check
21237,0191-EQUUH,Two year,No,Bank transfer (automatic)
21238,0191-ZHSKZ,Month-to-month,Yes,Electronic check
21239,0193-ESZXP,One year,Yes,Credit card (automatic)
21240,0195-IESCP,Month-to-month,Yes,Electronic check
21241,0196-JTUQI,Month-to-month,Yes,Credit card (automatic)
21242,0196-VULGZ,Month-to-month,Yes,Electronic check
21243,0197-PNKNK,One year,No,Bank transfer (automatic)
21244,0201-MIBOL,Two year,Yes,Bank transfer (automatic)
21245,0201-OAMXR,One year,No,Credit card (automatic)
21246,0203-HHYIJ,One year,No,Bank transfer (automatic)
21247,0206-OYVOC,Two year,Yes,Mailed check
21248,0206-TBWLC,One year,Yes,Mailed check
21249,0207-MDKNV,Month-to-month,No,Electronic check
21250,0208-BPQEJ,Month-to-month,No,Bank transfer (automatic)
21251,0212-ISBBF,Month-to-month,Yes,Electronic check
21252,0214-JHPFW,Two year,No,Bank transfer (automatic)
21253,0215-BQKGS,Month-to-month,Yes,Credit card (automatic)
21254,0218-QNVAS,One year,No,Bank transfer (automatic)
21255,0219-QAERP,One year,No,Credit card (automatic)
21256,0219-YTZUE,Month-to-month,Yes,Bank transfer (automatic)
21257,0220-EBGCE,Month-to-month,Yes,Electronic check
21258,0221-NAUXK,One year,Yes,Bank transfer (automatic)
21259,0221-WMXNQ,Month-to-month,No,Electronic check
21260,0222-CNVPT,Month-to-month,Yes,Credit card (automatic)
21261,0224-HJAPT,Month-to-month,No,Electronic check
21262,0224-NIJLP,Two year,No,Mailed check
21263,0224-RLWWD,Month-to-month,Yes,Electronic check
21264,0225-ZORZP,Month-to-month,No,Electronic check
21265,0228-MAUWC,Month-to-month,No,Electronic check
21266,0229-LFJAF,Two year,No,Bank transfer (automatic)
21267,0230-UBYPQ,One year,No,Bank transfer (automatic)
21268,0230-WEQUW,Two year,Yes,Bank transfer (automatic)
21269,0231-LXVAP,Month-to-month,Yes,Electronic check
21270,0233-FTHAV,One year,Yes,Bank transfer (automatic)
21271,0234-TEVTT,One year,No,Credit card (automatic)
21272,0235-KGSLC,Month-to-month,Yes,Credit card (automatic)
21273,0236-HFWSV,Month-to-month,Yes,Electronic check
21274,0237-YFUTL,Month-to-month,Yes,Bank transfer (automatic)
21275,0238-WHBIQ,Two year,No,Credit card (automatic)
21276,0239-OXEXL,Month-to-month,No,Mailed check
21277,0244-LGNFY,Two year,No,Bank transfer (automatic)
21278,0247-SLUJI,Month-to-month,No,Mailed check
21279,0248-IPDFW,Month-to-month,Yes,Electronic check
21280,0248-PGHBZ,Two year,Yes,Bank transfer (automatic)
21281,0253-ZTEOB,Two year,No,Electronic check
21282,0254-FNMCI,Two year,Yes,Electronic check
21283,0254-KCJGT,One year,Yes,Credit card (automatic)
21284,0254-WWRKD,One year,No,Credit card (automatic)
21285,0256-LTHVJ,Month-to-month,Yes,Electronic check
21286,0257-KXZGU,Month-to-month,No,Bank transfer (automatic)
21287,0257-ZESQC,Month-to-month,Yes,Bank transfer (automatic)
21288,0258-NOKBL,Month-to-month,No,Electronic check
21289,0259-GBZSH,Month-to-month,Yes,Electronic check
21290,0260-ZDLGK,Month-to-month,Yes,Mailed check
21291,0263-FJTQO,Two year,Yes,Credit card (automatic)
21292,0264-CNITK,Two year,No,Bank transfer (automatic)
21293,0265-EDXBD,Month-to-month,Yes,Electronic check
21294,0265-PSUAE,Month-to-month,No,Bank transfer (automatic)
21295,0266-CLZKZ,Two year,Yes,Bank transfer (automatic)
21296,0266-GMEAO,Two year,Yes,Credit card (automatic)
21297,0268-QKIWO,Month-to-month,No,Electronic check
21298,0269-XFESX,One year,No,Mailed check
21299,0270-THENM,Two year,No,Bank transfer (automatic)
21300,0274-JKUJR,Month-to-month,No,Mailed check
21301,0277-BKSQP,Month-to-month,Yes,Electronic check
21302,0277-ORXQS,Two year,No,Bank transfer (automatic)
21303,0278-YXOOG,Month-to-month,No,Mailed check
21304,0280-XJGEX,Month-to-month,Yes,Bank transfer (automatic)
21305,0281-CNTZX,Two year,Yes,Bank transfer (automatic)
21306,0282-NVSJS,Month-to-month,Yes,Mailed check
21307,0285-INHLN,Month-to-month,Yes,Credit card (automatic)
21308,0289-IVARM,Month-to-month,No,Electronic check
21309,0292-WEGCH,Month-to-month,Yes,Electronic check
21310,0295-PPHDO,Month-to-month,Yes,Electronic check
21311,0295-QVKPB,Month-to-month,Yes,Credit card (automatic)
21312,0297-RBCSG,One year,Yes,Bank transfer (automatic)
21313,0298-XACET,Two year,No,Mailed check
21314,0301-FIDRB,Two year,Yes,Bank transfer (automatic)
21315,0301-KOBTQ,Two year,Yes,Bank transfer (automatic)
21316,0302-JOIVN,Month-to-month,No,Electronic check
21317,0303-UNCIP,One year,No,Mailed check
21318,0303-WMMRN,Month-to-month,Yes,Mailed check
21319,0305-SQECB,One year,Yes,Mailed check
21320,0306-JAELE,Month-to-month,Yes,Electronic check
21321,0307-BCOPK,One year,No,Mailed check
21322,0308-GIQJT,One year,No,Bank transfer (automatic)
21323,0308-IVGOK,One year,Yes,Credit card (automatic)
21324,0310-MVLET,Month-to-month,Yes,Electronic check
21325,0310-SUCIN,One year,Yes,Bank transfer (automatic)
21326,0310-VQXAM,Month-to-month,No,Mailed check
21327,0311-QYWSS,Month-to-month,Yes,Electronic check
21328,0311-UNPFF,Month-to-month,Yes,Bank transfer (automatic)
21329,0314-TKOSI,Month-to-month,No,Mailed check
21330,0315-LVCRK,Month-to-month,No,Electronic check
21331,0318-QUUOB,Month-to-month,Yes,Electronic check
21332,0318-ZOPWS,Two year,Yes,Bank transfer (automatic)
21333,0319-QZTCO,Month-to-month,Yes,Credit card (automatic)
21334,0320-DWVTU,Two year,No,Mailed check
21335,0320-JDNQG,Month-to-month,Yes,Electronic check
21336,0322-CHQRU,Month-to-month,No,Electronic check
21337,0322-YINQP,Month-to-month,Yes,Mailed check
21338,0323-XWWTN,Two year,Yes,Mailed check
21339,0324-BRPCJ,Month-to-month,Yes,Electronic check
21340,0325-XBFAC,Month-to-month,Yes,Electronic check
21341,0326-VDYXE,One year,Yes,Electronic check
21342,0327-WFZSY,One year,No,Electronic check
21343,0328-GRPMV,Month-to-month,Yes,Electronic check
21344,0329-GTIAJ,Month-to-month,Yes,Electronic check
21345,0330-BGYZE,One year,No,Bank transfer (automatic)
21346,0330-IVZHA,Month-to-month,No,Electronic check
21347,0334-GDDSO,Month-to-month,Yes,Electronic check
21348,0334-ZFJSR,One year,Yes,Credit card (automatic)
21349,0336-KXKFK,Two year,Yes,Credit card (automatic)
21350,0336-PIKEI,Two year,No,Bank transfer (automatic)
21351,0337-CNPZE,Month-to-month,Yes,Electronic check
21352,0343-QLUZP,Two year,No,Bank transfer (automatic)
21353,0345-HKJVM,Month-to-month,No,Electronic check
21354,0345-XMMUG,Two year,Yes,Credit card (automatic)
21355,0347-UBKUZ,Month-to-month,No,Mailed check
21356,0348-SDKOL,Month-to-month,Yes,Credit card (automatic)
21357,0354-VXMJC,Two year,No,Credit card (automatic)
21358,0354-WYROK,Month-to-month,Yes,Electronic check
21359,0356-ERHVT,Month-to-month,Yes,Bank transfer (automatic)
21360,0356-OBMAC,Two year,Yes,Bank transfer (automatic)
21361,0357-NVCRI,Month-to-month,No,Credit card (automatic)
21362,0361-HJRDX,Two year,No,Credit card (automatic)
21363,0362-RAOQO,Two year,No,Credit card (automatic)
21364,0362-ZBZWJ,Month-to-month,Yes,Electronic check
21365,0363-QJVFX,Month-to-month,Yes,Credit card (automatic)
21366,0363-SVHYR,Two year,No,Bank transfer (automatic)
21367,0365-BZUWY,Month-to-month,Yes,Electronic check
21368,0365-GXEZS,Month-to-month,No,Electronic check
21369,0365-TRTPY,Month-to-month,No,Bank transfer (automatic)
21370,0366-NQSHS,Month-to-month,No,Mailed check
21371,0369-ZGOVK,One year,Yes,Bank transfer (automatic)
21372,0373-AIVNJ,One year,No,Mailed check
21373,0374-AACSZ,Month-to-month,No,Electronic check
21374,0374-FIUCA,Two year,Yes,Credit card (automatic)
21375,0374-IOEGQ,Month-to-month,No,Electronic check
21376,0375-HVGXO,Month-to-month,Yes,Electronic check
21377,0376-OIWME,Month-to-month,Yes,Electronic check
21378,0376-YMCJC,Month-to-month,Yes,Electronic check
21379,0377-JBKKT,Month-to-month,Yes,Mailed check
21380,0378-CJKPV,Two year,No,Credit card (automatic)
21381,0378-NHQXU,Month-to-month,No,Electronic check
21382,0378-TOVMS,Month-to-month,No,Electronic check
21383,0378-XSZPU,One year,No,Credit card (automatic)
21384,0379-DJQHR,Two year,No,Credit card (automatic)
21385,0380-NEAVX,One year,Yes,Electronic check
21386,0380-ZCSBI,Month-to-month,No,Credit card (automatic)
21387,0383-CLDDA,Two year,Yes,Credit card (automatic)
21388,0384-LPITE,One year,No,Credit card (automatic)
21389,0384-RVBPI,Month-to-month,No,Credit card (automatic)
21390,0386-CWRGM,Two year,No,Mailed check
21391,0388-EOPEX,Month-to-month,Yes,Electronic check
21392,0390-DCFDQ,Month-to-month,Yes,Mailed check
21393,0392-BZIUW,Two year,Yes,Credit card (automatic)
21394,0394-YONDK,Two year,No,Credit card (automatic)
21395,0396-HUJBP,Month-to-month,No,Mailed check
21396,0396-UKGAI,Month-to-month,Yes,Bank transfer (automatic)
21397,0396-YCHWO,Month-to-month,Yes,Electronic check
21398,0397-GZBBC,Month-to-month,Yes,Bank transfer (automatic)
21399,0397-ZXWQF,Two year,No,Bank transfer (automatic)
21400,0401-WDBXM,Two year,Yes,Bank transfer (automatic)
21401,0402-CQAJN,Month-to-month,Yes,Bank transfer (automatic)
21402,0402-OAMEN,Two year,No,Bank transfer (automatic)
21403,0404-AHASP,Two year,No,Credit card (automatic)
21404,0404-SWRVG,Month-to-month,Yes,Electronic check
21405,0406-BPDVR,One year,Yes,Credit card (automatic)
21406,0407-BDJKB,Month-to-month,Yes,Electronic check
21407,0409-WTMPL,One year,Yes,Credit card (automatic)
21408,0410-IPFTY,Month-to-month,Yes,Bank transfer (automatic)
21409,0411-EZJZE,Month-to-month,Yes,Electronic check
21410,0412-UCCNP,Two year,Yes,Electronic check
21411,0415-MOSGF,Month-to-month,No,Mailed check
21412,0419-YAAPX,Month-to-month,Yes,Credit card (automatic)
21413,0420-BWTPW,Month-to-month,No,Mailed check
21414,0420-HLGXF,Month-to-month,Yes,Electronic check
21415,0420-TXVSG,Two year,Yes,Credit card (automatic)
21416,0422-OHQHQ,One year,No,Mailed check
21417,0422-UXFAP,One year,Yes,Electronic check
21418,0423-UDIJQ,Month-to-month,No,Mailed check
21419,0426-TIRNE,Month-to-month,No,Mailed check
21420,0428-AXXLJ,One year,Yes,Bank transfer (automatic)
21421,0428-IKYCP,Month-to-month,Yes,Bank transfer (automatic)
21422,0430-IHCDJ,Month-to-month,Yes,Electronic check
21423,0431-APWVY,One year,Yes,Bank transfer (automatic)
21424,0432-CAJZV,Month-to-month,No,Mailed check
21425,0434-CSFON,Month-to-month,Yes,Electronic check
21426,0436-TWFFZ,Two year,Yes,Mailed check
21427,0439-IFYUN,Month-to-month,Yes,Electronic check
21428,0440-EKDCF,Two year,Yes,Credit card (automatic)
21429,0440-MOGPM,One year,Yes,Electronic check
21430,0440-QEXBZ,Month-to-month,Yes,Mailed check
21431,0440-UEDAI,One year,Yes,Credit card (automatic)
21432,0442-TDYUO,Two year,Yes,Mailed check
21433,0442-ZXKVS,One year,Yes,Bank transfer (automatic)
21434,0447-BEMNG,Month-to-month,Yes,Bank transfer (automatic)
21435,0447-RXSGD,Month-to-month,Yes,Bank transfer (automatic)
21436,0454-OKRCT,Two year,No,Bank transfer (automatic)
21437,0455-ENTCR,Two year,No,Electronic check
21438,0455-XFASS,Month-to-month,Yes,Electronic check
21439,0458-HEUZG,Two year,No,Mailed check
21440,0459-SPZHJ,Two year,No,Credit card (automatic)
21441,0461-CVKMU,Month-to-month,No,Electronic check
21442,0463-TXOAK,Two year,No,Credit card (automatic)
21443,0463-WZZKO,Month-to-month,Yes,Credit card (automatic)
21444,0463-ZSDNT,Month-to-month,Yes,Bank transfer (automatic)
21445,0464-WJTKO,Two year,No,Bank transfer (automatic)
21446,0468-YRPXN,Month-to-month,Yes,Credit card (automatic)
21447,0471-ARVMX,One year,Yes,Electronic check
21448,0471-LVHGK,One year,Yes,Electronic check
21449,0475-RIJEP,Month-to-month,Yes,Electronic check
21450,0479-HMSWA,Two year,Yes,Electronic check
21451,0480-BIXDE,Month-to-month,Yes,Electronic check
21452,0480-KYJVA,Two year,No,Credit card (automatic)
21453,0481-SUMCB,One year,Yes,Bank transfer (automatic)
21454,0484-FFVBJ,One year,Yes,Bank transfer (automatic)
21455,0484-JPBRU,Month-to-month,Yes,Bank transfer (automatic)
21456,0485-ZBSLN,Two year,No,Credit card (automatic)
21457,0486-HECZI,Month-to-month,Yes,Electronic check
21458,0486-LGCCH,Two year,No,Mailed check
21459,0487-CRLZF,Two year,Yes,Bank transfer (automatic)
21460,0487-RPVUM,Month-to-month,No,Bank transfer (automatic)
21461,0487-VVUVK,Month-to-month,Yes,Mailed check
21462,0488-GSLFR,Month-to-month,Yes,Electronic check
21463,0489-WMEMG,One year,Yes,Electronic check
21464,0491-KAPQG,Month-to-month,Yes,Electronic check
21465,0495-RVCBF,Month-to-month,Yes,Electronic check
21466,0495-ZBNGW,Month-to-month,Yes,Bank transfer (automatic)
21467,0496-AHOOK,One year,No,Bank transfer (automatic)
21468,0504-HHAPI,Month-to-month,No,Credit card (automatic)
21469,0505-SPOOW,Two year,No,Bank transfer (automatic)
21470,0506-LVNGN,Month-to-month,Yes,Credit card (automatic)
21471,0506-YLVKJ,Two year,Yes,Mailed check
21472,0508-OOLTO,Month-to-month,Yes,Electronic check
21473,0508-SQWPL,Two year,Yes,Bank transfer (automatic)
21474,0511-JTEOY,Month-to-month,No,Mailed check
21475,0512-FLFDW,One year,Yes,Credit card (automatic)
21476,0513-RBGPE,Two year,Yes,Credit card (automatic)
21477,0515-YPMCW,Month-to-month,Yes,Mailed check
21478,0516-OOHAR,One year,No,Bank transfer (automatic)
21479,0516-QREYC,Month-to-month,Yes,Mailed check
21480,0516-UXRMT,One year,Yes,Electronic check
21481,0516-VRYBW,One year,No,Bank transfer (automatic)
21482,0516-WJVXC,Month-to-month,No,Electronic check
21483,0519-DRGTI,Month-to-month,No,Mailed check
21484,0519-XUZJU,Month-to-month,No,Mailed check
21485,0520-FDVVT,One year,Yes,Bank transfer (automatic)
21486,0523-VNGTF,Month-to-month,Yes,Electronic check
21487,0524-IAVZO,Month-to-month,Yes,Electronic check
21488,0526-SXDJP,Two year,No,Bank transfer (automatic)
21489,0529-ONKER,Month-to-month,No,Electronic check
21490,0530-IJVDB,Two year,Yes,Electronic check
21491,0531-XBKMM,Two year,No,Bank transfer (automatic)
21492,0531-ZZJWQ,Month-to-month,Yes,Electronic check
21493,0533-BNWKF,Month-to-month,Yes,Electronic check
21494,0533-UCAAU,One year,Yes,Credit card (automatic)
21495,0536-ACXIP,Two year,Yes,Electronic check
21496,0536-BGFMZ,Month-to-month,No,Mailed check
21497,0536-ESJEP,Two year,Yes,Bank transfer (automatic)
21498,0537-QYZZN,Month-to-month,Yes,Electronic check
21499,0541-FITGH,Month-to-month,Yes,Mailed check
21500,0547-HURJB,Month-to-month,No,Credit card (automatic)
21501,0549-CYCQN,One year,Yes,Bank transfer (automatic)
21502,0550-DCXLH,Month-to-month,No,Mailed check
21503,0556-FJEGU,Two year,No,Bank transfer (automatic)
21504,0557-ASKVU,One year,Yes,Credit card (automatic)
21505,0559-CKHUS,Two year,Yes,Mailed check
21506,0562-FGDCR,Two year,No,Mailed check
21507,0562-HKHML,Two year,No,Credit card (automatic)
21508,0562-KBDVM,Two year,Yes,Bank transfer (automatic)
21509,0564-JJHGS,Month-to-month,Yes,Electronic check
21510,0564-MUUQK,Month-to-month,Yes,Bank transfer (automatic)
21511,0565-IYCGT,One year,Yes,Credit card (automatic)
21512,0565-JUPYD,One year,No,Credit card (automatic)
21513,0567-GGCAC,Month-to-month,No,Electronic check
21514,0567-XRHCU,Two year,Yes,Credit card (automatic)
21515,0568-ONFPC,Month-to-month,Yes,Bank transfer (automatic)
21516,0570-BFQHT,Month-to-month,No,Electronic check
21517,0572-ZJKLT,Two year,No,Mailed check
21518,0575-CUQOV,One year,Yes,Electronic check
21519,0576-WNXXC,Month-to-month,Yes,Electronic check
21520,0577-WHMEV,Month-to-month,No,Electronic check
21521,0578-SKVMF,Month-to-month,No,Electronic check
21522,0580-PIQHM,One year,Yes,Bank transfer (automatic)
21523,0581-BXBUB,Month-to-month,No,Electronic check
21524,0581-MDMPW,Month-to-month,Yes,Credit card (automatic)
21525,0582-AVCLN,Two year,No,Mailed check
21526,0584-BJQGZ,Month-to-month,Yes,Bank transfer (automatic)
21527,0585-EGDDA,Month-to-month,Yes,Electronic check
21528,0587-DMGBH,Month-to-month,Yes,Electronic check
21529,0594-UFTUL,Month-to-month,Yes,Mailed check
21530,0595-ITUDF,Month-to-month,Yes,Electronic check
21531,0596-BQCEQ,Month-to-month,Yes,Electronic check
21532,0599-XNYDO,Month-to-month,Yes,Bank transfer (automatic)
21533,0601-WZHJF,Month-to-month,No,Electronic check
21534,0602-DDUML,Two year,No,Mailed check
21535,0603-OLQDC,Month-to-month,Yes,Mailed check
21536,0603-TPMIB,Two year,No,Mailed check
21537,0604-THJFP,Two year,Yes,Credit card (automatic)
21538,0607-DAAHE,Two year,No,Bank transfer (automatic)
21539,0607-MVMGC,One year,No,Credit card (automatic)
21540,0608-JDVEC,Two year,No,Electronic check
21541,0611-DFXKO,Month-to-month,Yes,Mailed check
21542,0612-RTZZA,Month-to-month,No,Electronic check
21543,0613-WUXUM,Two year,Yes,Mailed check
21544,0616-ATFGB,Month-to-month,No,Electronic check
21545,0617-AQNWT,Two year,No,Electronic check
21546,0617-FHSGK,Month-to-month,No,Credit card (automatic)
21547,0618-XWMSS,Month-to-month,Yes,Bank transfer (automatic)
21548,0619-OLYUR,Two year,Yes,Credit card (automatic)
21549,0620-DLSLK,Month-to-month,Yes,Mailed check
21550,0620-XEFWH,Month-to-month,No,Mailed check
21551,0621-CXBKL,Two year,No,Mailed check
21552,0621-HJWXJ,Month-to-month,Yes,Bank transfer (automatic)
21553,0621-JFHOL,Two year,Yes,Mailed check
21554,0621-TSSMU,One year,No,Credit card (automatic)
21555,0621-TWIEM,Month-to-month,Yes,Electronic check
21556,0623-EJQEG,One year,No,Electronic check
21557,0623-GDISB,Month-to-month,Yes,Bank transfer (automatic)
21558,0623-IIHUG,Month-to-month,Yes,Electronic check
21559,0625-AFOHS,Two year,No,Mailed check
21560,0626-QXNGV,Two year,Yes,Credit card (automatic)
21561,0628-CNQRM,One year,Yes,Bank transfer (automatic)
21562,0634-SZPQA,Month-to-month,Yes,Bank transfer (automatic)
21563,0635-WKOLD,One year,No,Credit card (automatic)
21564,0637-KVDLV,Month-to-month,Yes,Electronic check
21565,0637-UBJRP,Month-to-month,No,Electronic check
21566,0637-YLETY,Month-to-month,Yes,Credit card (automatic)
21567,0639-TSIQW,Month-to-month,Yes,Credit card (automatic)
21568,0640-YJTPY,Two year,No,Bank transfer (automatic)
21569,0641-EVBOJ,Month-to-month,Yes,Mailed check
21570,0643-OKLRP,Month-to-month,No,Electronic check
21571,0644-OQMDK,Month-to-month,Yes,Electronic check
21572,0650-BWOZN,Month-to-month,Yes,Electronic check
21573,0654-HMSHN,Month-to-month,No,Electronic check
21574,0654-PQKDW,One year,Yes,Bank transfer (automatic)
21575,0655-RBDUG,Month-to-month,Yes,Bank transfer (automatic)
21576,0655-YDGFJ,Month-to-month,No,Bank transfer (automatic)
21577,0657-DOGUM,One year,Yes,Bank transfer (automatic)
21578,0661-KBKPA,One year,Yes,Mailed check
21579,0661-KQHNK,One year,No,Credit card (automatic)
21580,0661-WCQNQ,One year,Yes,Credit card (automatic)
21581,0661-XEYAN,Month-to-month,Yes,Mailed check
21582,0665-XHDJU,Two year,Yes,Electronic check
21583,0666-UXTJO,Month-to-month,Yes,Credit card (automatic)
21584,0667-NSRGI,One year,Yes,Mailed check
21585,0668-OGMHD,Month-to-month,No,Electronic check
21586,0670-ANMUU,One year,No,Credit card (automatic)
21587,0670-KDOMA,Month-to-month,Yes,Mailed check
21588,0673-IGUQO,Month-to-month,No,Mailed check
21589,0674-DGMAQ,Month-to-month,Yes,Electronic check
21590,0674-EYYZV,Month-to-month,Yes,Electronic check
21591,0674-GCDXG,Two year,Yes,Bank transfer (automatic)
21592,0675-NCDYU,Two year,Yes,Credit card (automatic)
21593,0678-RLHVP,Two year,No,Electronic check
21594,0679-IDSTG,Month-to-month,Yes,Electronic check
21595,0679-TDGAK,One year,No,Electronic check
21596,0680-DFNNY,Month-to-month,Yes,Electronic check
21597,0682-USIXD,Month-to-month,Yes,Electronic check
21598,0684-AOSIH,Month-to-month,Yes,Electronic check
21599,0685-MLYYM,Month-to-month,No,Electronic check
21600,0687-ZVTHB,One year,No,Credit card (automatic)
21601,0689-DSXGL,Month-to-month,No,Bank transfer (automatic)
21602,0689-NKYLF,Month-to-month,Yes,Electronic check
21603,0690-SRQID,Month-to-month,Yes,Mailed check
21604,0691-IFBQW,One year,Yes,Electronic check
21605,0691-JVSYA,One year,Yes,Bank transfer (automatic)
21606,0691-NIKRI,One year,Yes,Credit card (automatic)
21607,0696-UKTOX,Month-to-month,No,Electronic check
21608,0697-ZMSWS,Month-to-month,Yes,Electronic check
21609,0699-NDKJM,Month-to-month,Yes,Bank transfer (automatic)
