SubscriptionID,CustomerID,Tenure,MonthlyCharges,TotalCharges,ChurnFlag
7096,6575-SUVOI,25,69.5,1752.65,0
7097,7495-OOKFY,8,80.65,633.3,1
7098,4667-QONEA,60,74.85,4456.35,0
7099,1658-BYGOY,18,95.45,1752.55,1
7100,8769-KKTPH,63,99.65,6311.2,0
7101,5067-XJQFU,66,108.45,7076.35,0
7102,3957-SQXML,34,24.95,894.3,0
7103,5954-BDFSG,72,107.5,7853.7,0
7104,0434-CSFON,47,100.5,4707.1,0
7105,1215-FIGMP,60,89.9,5450.7,0
7106,0526-SXDJP,72,42.1,2962.0,0
7107,0557-ASKVU,18,54.4,957.1,0
7108,5698-BQJOH,9,94.4,857.25,1
7109,5122-CYFXA,3,75.3,244.1,0
7110,8627-ZYGSZ,47,78.9,3650.35,0
7111,3410-YOQBQ,31,79.2,2497.2,0
7112,3170-NMYVV,50,20.15,930.9,0
7113,7410-OIEDU,10,79.85,887.35,0
7114,2273-QCKXA,1,49.05,49.05,0
7115,0731-EBJQB,52,20.4,1090.65,0
7116,1891-QRQSA,64,111.6,7099.0,0
7117,8028-PNXHQ,62,24.25,1424.6,0
7118,5630-AHZIL,3,64.5,177.4,0
7119,2673-CXQEU,56,110.5,6139.5,0
7120,6416-JNVRK,46,55.65,2688.85,0
7121,5590-ZSKRV,8,54.65,482.25,0
7122,0191-ZHSKZ,30,74.75,2111.3,0
7123,3887-PBQAO,45,25.9,1216.6,0
7124,5919-TMRGD,1,79.35,79.35,1
7125,8108-UXRQN,11,50.55,565.35,0
7126,9191-MYQKX,7,75.15,496.9,1
7127,9919-YLNNG,42,103.8,4327.5,0
7128,0318-ZOPWS,49,20.15,973.35,0
7129,4445-ZJNMU,9,99.3,918.75,0
7130,4808-YNLEU,35,62.15,2215.45,0
7131,1862-QRWPE,48,20.65,1057.0,0
7132,2796-NNUFI,46,19.95,927.1,0
7133,3016-KSVCP,29,33.75,1009.25,0
7134,4767-HZZHQ,30,82.05,2570.2,0
7135,2424-WVHPL,1,74.7,74.7,0
7136,7233-PAHHL,66,84.0,5714.25,0
7137,6067-NGCEU,65,111.05,7107.0,0
7138,9848-JQJTX,72,100.9,7459.05,0
7139,8637-XJIVR,12,78.95,927.35,1
7140,9803-FTJCG,71,66.85,4748.7,0
7141,0278-YXOOG,5,21.05,113.85,1
7142,3212-KXOCR,52,21.0,1107.2,0
7143,4598-XLKNJ,25,98.5,2514.5,1
7144,6380-ARCEH,1,20.2,20.2,0
7145,3679-XASPY,1,19.45,19.45,0
7146,7123-WQUHX,38,95.0,3605.6,0
7147,5386-THSLQ,66,45.55,3027.25,0
7148,3192-NQECA,68,110.0,7611.85,1
7149,6180-YBIQI,5,24.3,100.2,0
7150,6728-DKUCO,72,104.15,7303.05,0
7151,9750-BOOHV,32,30.15,927.65,0
7152,8597-CWYHH,43,94.35,3921.3,0
7153,0486-HECZI,55,96.75,5238.9,1
7154,2848-YXSMW,72,19.4,1363.25,0
7155,4549-ZDQYY,52,57.95,3042.25,0
7156,5712-AHQNN,43,91.65,3954.1,0
7157,4846-WHAFZ,37,76.5,2868.15,1
7158,5256-SKJGO,64,54.6,3423.5,0
7159,3071-VBYPO,3,89.85,248.4,0
7160,9560-BBZXK,36,31.05,1126.35,0
7161,5299-RULOA,10,100.25,1064.65,1
7162,8402-OOOHJ,41,20.65,835.15,0
7163,9445-ZUEQE,27,85.2,2151.6,0
7164,1091-SOZGA,56,99.8,5515.45,0
7165,2928-HLDBA,6,20.7,112.75,0
7166,0404-SWRVG,3,74.4,229.55,1
7167,6497-TILVL,7,50.7,350.35,0
7168,7219-TLZHO,4,20.85,62.9,0
7169,4622-YNKIJ,33,88.95,3027.65,0
7170,4412-YLTKF,27,78.05,2135.5,1
7171,6734-PSBAW,72,23.55,1723.95,0
7172,3930-ZGWVE,1,19.75,19.75,0
7173,2639-UGMAZ,71,56.45,3985.35,0
7174,2876-GZYZC,13,85.95,1215.65,0
7175,6207-WIOLX,25,58.6,1502.65,1
7176,8587-XYZSF,67,50.55,3260.1,0
7177,3091-FYHKI,1,35.45,35.45,1
7178,2372-HWUHI,2,44.35,81.25,1
7179,3376-BMGFE,4,70.9,273.0,1
7180,7799-LGRDP,43,25.7,1188.2,0
7181,7850-VWJUU,23,75.0,1778.5,0
7182,3774-VBNXY,64,20.2,1277.75,0
7183,6217-KDYWC,57,19.6,1170.55,0
7184,0390-DCFDQ,1,70.45,70.45,1
7185,3146-MSEGF,72,88.05,6425.65,0
7186,4080-OGPJL,8,71.15,563.65,1
7187,1095-WGNGG,61,101.05,5971.25,0
7188,2636-SJDOU,64,84.3,5289.05,0
7189,1131-QQZEB,71,23.95,1756.2,0
7190,5716-EZXZN,65,99.05,6416.7,0
7191,6837-BJYDQ,3,19.6,61.35,0
7192,2135-RXIHG,1,45.65,45.65,1
7193,6440-DKQGE,30,64.5,1929.95,0
7194,3466-BYAVD,15,69.5,1071.4,0
7195,3780-YVMFA,8,68.55,564.35,0
7196,3874-EQOEP,7,95.0,655.5,1
7197,1679-JRFBR,70,108.15,7930.55,0
7198,9073-ZZIAY,62,86.1,5215.25,0
7199,3077-RSNTJ,6,19.7,113.5,0
7200,6551-GNYDG,14,80.9,1152.8,0
7201,9167-APMXZ,22,84.15,1821.95,0
7202,6371-NZYEG,16,64.25,1024.0,0
7203,8992-VONJD,13,56.0,764.55,0
7204,0867-MKZVY,20,82.4,1592.35,1
7205,4482-EWFMI,2,69.7,135.2,0
7206,4648-YPBTM,53,73.9,3958.25,0
7207,2749-CTKAJ,22,20.15,419.9,0
7208,7554-NEWDD,10,25.7,251.6,0
7209,2907-ILJBN,11,20.6,233.9,0
7210,6345-FZOQH,69,19.9,1363.45,0
7211,5997-OPVFA,72,89.05,6254.45,0
7212,3445-HXXGF,58,45.3,2651.2,1
7213,1159-WFSGR,16,20.4,321.4,0
7214,7654-YWJUF,43,84.25,3539.25,0
7215,1875-QIVME,2,104.4,242.8,1
7216,6727-IOTLZ,14,81.95,1181.75,0
7217,0691-JVSYA,53,94.85,5000.2,1
7218,5918-VUKWP,32,20.55,654.55,0
7219,1744-JHKYS,34,24.7,780.2,0
7220,2656-FMOKZ,15,74.45,1145.7,1
7221,2070-FNEXE,7,76.45,503.6,1
7222,5947-SGKCL,15,105.35,1559.25,0
7223,3712-PKXZA,61,20.55,1252.0,0
7224,6317-YPKDH,1,29.95,29.95,1
7225,6582-OIVSP,1,45.3,45.3,0
7226,9367-WXLCH,8,84.5,662.65,1
7227,5524-KHNJP,33,74.75,2453.3,0
7228,1918-ZBFQJ,13,79.25,1111.65,1
7229,1024-GUALD,1,24.8,24.8,1
7230,4827-USJHP,20,51.8,1023.85,0
7231,8167-GJLRN,3,30.4,82.15,0
7232,0956-SYCWG,13,19.65,244.8,0
7233,8017-UVSZU,40,56.6,2379.1,0
7234,7100-FQPRV,43,71.9,3173.35,0
7235,2472-OVKUP,6,91.0,531.0,1
7236,2984-RGEYA,69,19.75,1375.4,0
7237,9680-NIAUV,72,109.7,8129.3,0
7238,2146-EGVDT,59,19.3,1192.7,0
7239,2604-IJPDU,20,96.55,1901.65,0
7240,9178-JHUVJ,24,24.1,587.4,0
7241,6168-YBYNP,59,111.35,6519.75,0
7242,7255-SSFBC,72,112.25,8041.65,0
7243,3645-DEYGF,1,20.75,20.75,0
7244,9323-HGFWY,27,101.9,2681.15,0
7245,8544-GOQSH,14,80.05,1112.3,0
7246,3363-DTIVD,71,105.55,7405.5,0
7247,7018-WBJNK,13,78.3,1033.95,0
7248,9142-KZXOP,44,68.85,2958.95,0
7249,7674-YTAFD,33,79.95,2684.85,0
7250,6348-SNFUS,72,55.45,4179.2,0
7251,1285-OKIPP,1,79.9,79.9,1
7252,7825-ECJRF,19,106.6,1934.45,1
7253,1347-KTTTA,64,102.45,6654.1,0
7254,7841-TZDMQ,2,46.0,84.5,1
7255,4195-NZGTA,1,25.25,25.25,0
7256,2504-DSHIH,23,86.8,1975.85,0
7257,0699-NDKJM,57,58.75,3437.45,0
7258,7157-SMCFK,61,19.75,1124.2,0
7259,4709-LKHYG,29,20.0,540.05,0
7260,9286-BHDQG,72,45.25,3139.8,0
7261,0230-WEQUW,66,56.6,3789.2,0
7262,2040-LDIWQ,65,84.2,5324.5,0
7263,6496-JDSSB,8,80.0,624.6,0
7264,9408-SSNVZ,4,70.15,268.35,1
7265,4443-EMBNA,71,24.75,1836.9,0
7266,6469-MRVET,1,20.2,20.2,0
7267,0742-MOABM,4,50.05,179.35,1
7268,5961-VUSRV,12,19.35,219.35,0
7269,6778-JFCMK,24,50.6,1288.75,0
7270,6341-JVQGF,31,81.15,2545.75,0
7271,2232-DMLXU,1,55.2,55.2,1
7272,4811-JBUVU,30,89.9,2723.15,0
7273,0945-TSONX,47,85.3,4107.25,0
7274,2651-ZCBXV,54,108.0,5760.65,0
7275,3316-UWXUY,50,93.5,4747.5,0
7276,8937-RDTHP,1,84.6,84.6,1
7277,7083-MIOPC,72,20.25,1566.9,0
7278,1984-GPTEH,29,25.15,702.0,0
7279,1251-KRREG,2,54.4,114.1,1
7280,0621-JFHOL,10,29.6,299.05,0
7281,9903-LYSAB,18,73.15,1305.95,0
7282,0094-OIFMO,11,95.0,1120.3,1
7283,7633-MVPUY,57,59.75,3450.15,0
7284,9227-UAQFT,16,19.75,284.35,0
7285,7301-ABVAD,72,86.6,6350.5,0
7286,6614-FHDBO,72,109.2,7878.3,0
7287,7576-ASEJU,41,74.7,3187.65,0
7288,9058-HRZSV,65,94.4,6126.15,0
7289,4522-AKYLR,13,54.8,731.3,0
7290,0221-WMXNQ,4,75.35,273.4,0
7291,0303-UNCIP,41,65.0,2531.8,0
7292,9947-OTFQU,15,74.4,1074.3,1
7293,0322-YINQP,1,48.55,48.55,1
7294,0959-WHOKV,42,99.0,4298.45,0
7295,4075-JFPGR,51,93.5,4619.55,0
7296,4629-NRXKX,2,70.4,147.15,1
7297,9514-JDSKI,1,40.2,40.2,1
7298,3282-ZISZV,32,83.7,2633.3,0
7299,3675-YDUPJ,10,19.85,193.05,0
7300,4111-BNXIF,67,59.55,4103.9,0
7301,7017-VFHAY,61,115.1,7008.15,0
7302,6655-LHBYW,50,114.35,5791.1,0
7303,4959-JOSRX,2,44.6,80.55,1
7304,5046-NUHWD,29,45.0,1228.65,0
7305,7273-TEFQD,3,41.15,132.2,1
7306,3606-TWKGI,13,106.9,1364.3,1
7307,7529-ZDFXI,57,89.85,4925.35,0
7308,7605-BDWDC,31,49.85,1520.1,0
7309,1950-KSVVJ,45,113.3,5032.25,0
7310,0123-CRBRT,61,88.1,5526.75,0
7311,3197-ARFOY,19,105.0,2007.25,0
7312,4385-GZQXV,16,94.45,1511.2,1
7313,6292-TOSSS,50,24.9,1195.25,0
7314,6323-AYBRX,59,19.35,1099.6,1
7315,7014-ZZXAW,71,24.25,1732.95,0
7316,6366-ZGQGL,1,24.8,24.8,1
7317,4716-HHKQH,20,107.05,2172.05,0
7318,5940-AHUHD,1,70.6,70.6,1
7319,6432-TWQLB,5,85.4,401.1,1
7320,4484-GLZOU,52,105.05,5624.85,1
7321,3179-GBRWV,21,64.95,1339.8,0
7322,8645-KWHJO,14,55.0,771.95,0
7323,4130-MZLCC,5,50.55,244.75,0
7324,0314-TKOSI,6,55.15,322.9,0
7325,8229-MYEJZ,10,51.2,498.25,0
7326,2080-SRCDE,1,25.4,25.4,0
7327,9577-WJVCQ,68,54.45,3687.75,0
7328,9512-UIBFX,18,95.15,1779.95,1
7329,6202-DYYFX,22,76.0,1783.6,0
7330,3808-HFKDE,20,44.35,927.15,0
7331,5583-SXDAG,1,70.0,70.0,1
7332,3488-PGMQJ,8,74.5,606.55,1
7333,3580-REOAC,10,44.85,435.4,1
7334,7534-BFESC,24,76.1,1712.7,1
7335,3727-OWVYD,35,61.2,2021.2,0
7336,2294-SALNE,23,86.8,1940.8,0
7337,4847-TAJYI,6,89.35,567.8,0
7338,9880-TDQAC,72,60.0,4264.0,0
7339,8705-WZCYL,1,44.8,44.8,0
7340,7102-JJVTX,9,48.6,422.3,0
7341,1563-IWQEX,12,19.7,220.35,0
7342,8203-XJZRC,1,20.25,20.25,0
7343,6556-DBKZF,71,76.05,5436.45,0
7344,6851-WEFYX,35,100.8,3437.5,0
7345,2985-JUUBZ,40,74.55,3015.75,0
7346,6390-DSAZX,1,73.6,73.6,1
7347,0895-LMRSF,23,64.9,1509.8,0
7348,8098-LLAZX,4,95.45,396.1,1
7349,8266-VBFQL,4,90.4,356.65,0
7350,8181-YHCMF,68,60.3,4109.0,0
7351,2240-HSJQD,38,81.85,3141.7,0
7352,1248-DYXUB,52,24.8,1229.1,0
7353,0265-EDXBD,32,74.9,2303.35,1
7354,4115-BNPJY,29,75.55,2054.4,0
7355,3167-SNQPL,38,101.15,3741.85,0
7356,4091-TVOCN,48,78.75,3682.45,0
7357,1098-TDVUQ,1,19.25,19.25,0
7358,7277-OZCGZ,22,89.05,1886.25,0
7359,1557-EMYVT,43,115.05,4895.1,0
7360,2799-ARNLO,5,69.35,341.6,0
7361,7563-BIUPC,5,80.6,415.55,1
7362,5027-YOCXN,51,110.05,5686.4,0
7363,3973-SKMLN,71,19.9,1355.1,0
7364,2321-OMBXY,38,80.3,3058.65,1
7365,2840-XANRC,24,93.15,2231.05,1
7366,6745-JEFZB,35,91.5,3236.35,0
7367,5020-ZSTTY,54,82.45,4350.1,1
7368,8626-PTQGE,69,60.05,4176.7,0
7369,4983-CLMLV,52,102.7,5138.1,0
7370,5701-YVSVF,11,82.9,880.05,0
7371,5804-LEPIM,2,70.35,139.05,1
7372,5697-GOMBF,28,35.9,973.65,0
7373,2739-CACDQ,17,82.65,1470.05,0
7374,9385-EHGDO,35,19.85,739.35,0
7375,9498-FIMXL,8,19.2,161.95,0
7376,2379-GYFLQ,46,94.9,4422.95,0
7377,0122-OAHPZ,7,73.85,511.25,1
7378,2868-SNELZ,2,80.6,155.8,1
7379,4322-RCYMT,68,75.8,5293.95,1
7380,6680-NENYN,43,104.6,4759.85,1
7381,2088-IEBAU,68,88.15,6148.45,0
7382,7982-VCELR,36,94.8,3565.65,0
7383,1343-EHPYB,63,103.4,6603.0,1
7384,6035-BXTTY,32,54.65,1830.1,0
7385,6885-PKOAM,71,85.75,6223.8,0
7386,7520-HQWJU,66,67.45,4508.65,0
7387,9639-BUJXT,63,20.5,1328.15,0
7388,5924-SNGKP,41,20.25,865.0,0
7389,0021-IKXGC,1,72.1,72.1,0
7390,2034-GDRCN,2,90.4,168.2,1
7391,6243-OZGFH,23,44.95,996.85,0
7392,4654-DLAMQ,64,97.0,6430.9,0
7393,0513-RBGPE,37,62.8,2278.75,0
7394,5160-UXJED,17,44.6,681.4,0
7395,4115-NZRKS,7,89.15,574.35,0
7396,8966-SNIZF,70,19.45,1303.5,0
7397,0219-YTZUE,4,84.8,371.9,1
7398,0623-IIHUG,21,41.9,840.1,1
7399,4572-DVCGN,10,80.25,846.0,1
7400,3351-NGXYI,16,54.1,889.0,0
7401,8984-EYLLL,64,105.25,6823.4,0
7402,9057-MSWCO,27,30.75,805.1,1
7403,9833-TGFHX,42,97.1,4016.75,0
7404,9294-TDIPC,5,20.2,83.75,0
7405,5229-DTFYB,41,98.8,3959.15,0
7406,0104-PPXDV,58,50.3,2878.55,0
7407,5176-LMJXE,47,20.55,945.7,0
7408,3583-KRKMD,18,75.9,1373.05,0
7409,1010-DIAUQ,5,96.5,492.55,1
7410,9069-LGEUL,23,59.95,1406.0,0
7411,7302-ZHMHP,1,19.15,19.15,0
7412,9571-EDEBV,71,98.65,6962.85,0
7413,3520-FJGCV,72,112.6,8126.65,0
7414,6563-VRERX,33,20.6,690.25,0
7415,0259-GBZSH,2,85.65,181.5,1
7416,6122-EFVKN,24,35.75,830.8,0
7417,2805-EDJPQ,56,99.75,5608.4,0
7418,6862-CQUMB,37,96.1,3646.8,0
7419,7156-MXBJE,43,85.1,3662.25,0
7420,6158-HDPXZ,1,25.35,25.35,0
7421,9601-BRXPO,25,104.95,2566.5,1
7422,2863-IMQDR,61,89.65,5308.7,0
7423,5686-CMAWK,17,86.75,1410.25,0
7424,5651-CRHKQ,41,86.2,3339.05,0
7425,6905-NIQIN,1,50.65,50.65,1
7426,8204-YJCLA,72,64.8,4732.35,0
7427,5167-ZFFMM,1,90.85,90.85,1
7428,6583-SZVGP,48,108.1,5067.45,0
7429,4895-TMWIR,11,19.95,214.75,1
7430,0533-BNWKF,55,85.45,4874.7,1
7431,1708-PBBOA,42,54.75,2348.45,0
7432,8782-LKFPK,44,90.4,4063.0,0
7433,5522-JBWMO,1,44.0,44.0,0
7434,3597-MVHJT,27,95.6,2595.25,0
7435,9774-NRNAU,27,84.8,2309.55,0
7436,0224-RLWWD,2,44.3,89.3,0
7437,9967-ATRFS,19,19.9,367.55,0
7438,3951-NJCVI,42,95.05,3944.5,0
7439,2977-CEBSX,66,90.05,5965.95,0
7440,0177-PXBAT,33,109.9,3694.7,0
7441,6599-CEBNN,34,73.95,2524.45,1
7442,2519-ERQOJ,33,54.6,1803.7,0
7443,5876-QMYLD,23,20.05,415.1,0
7444,2277-AXSDC,32,19.75,624.15,0
7445,9442-JTWDL,11,20.05,237.7,0
7446,0979-PHULV,69,99.45,7007.6,1
7447,3067-SVMTC,68,55.9,3848.8,0
7448,4742-DRORA,60,95.4,5812.0,0
7449,0111-KLBQG,32,93.95,2861.45,0
7450,5495-GPSRW,20,19.7,419.4,0
7451,7606-BPHHN,72,19.8,1468.75,0
7452,4800-VHZKI,1,19.9,19.9,1
7453,7989-CHGTL,1,19.6,19.6,1
7454,0334-GDDSO,3,81.35,233.7,1
7455,4163-NCJAK,46,24.45,1066.15,0
7456,5233-AOZUF,29,74.95,2149.05,0
7457,5973-EJGDP,51,87.35,4473.0,0
7458,1996-DBMUS,48,70.65,3545.05,0
7459,7916-VCCPB,16,73.25,1195.75,0
7460,4686-GEFRM,70,98.7,6858.9,0
7461,5249-QYHEX,40,24.8,1024.7,0
7462,0578-SKVMF,22,83.3,1845.9,1
7463,5564-NEMQO,1,75.3,75.3,1
7464,2233-FAGXV,5,24.3,132.25,0
7465,5605-IYGFG,7,69.85,515.45,0
7466,7663-ZTEGJ,29,100.55,2830.45,0
7467,3935-TBRZZ,44,25.7,1110.5,0
7468,8111-BKVDS,10,40.7,449.3,0
7469,2055-SIFSS,55,51.65,2838.55,0
7470,2806-MLNTI,52,105.1,5376.4,0
7471,8734-DKSTZ,10,85.95,858.6,0
7472,4360-PNRQB,18,75.6,1395.05,0
7473,6152-ONASV,68,58.25,3975.7,0
7474,1452-VOQCH,1,75.1,75.1,0
7475,9063-ZGTUY,61,19.4,1182.55,1
7476,7781-HVGMK,72,65.2,4784.45,0
7477,2181-UAESM,2,53.45,119.5,0
7478,2957-LOLHO,12,45.4,518.9,1
7479,6048-NJXHX,41,19.75,899.45,0
7480,2320-SLKMB,26,44.45,1183.8,0
7481,4980-URKXC,36,20.85,720.05,0
7482,4376-KFVRS,72,114.05,8468.2,0
7483,5886-VLQVU,35,89.85,3161.2,0
7484,3577-AMVUX,1,55.05,55.05,0
7485,0771-WLCLA,16,112.95,1882.55,0
7486,5628-RKIFK,49,101.55,5070.4,0
7487,0206-TBWLC,54,114.65,6049.5,0
7488,2937-FTHUR,18,64.8,1166.7,0
7489,1910-FMXJM,36,80.4,2937.65,0
7490,7752-XUSCI,60,105.9,6396.45,1
7491,4110-PFEUZ,1,69.55,69.55,1
7492,0732-OCQOC,52,25.05,1270.25,0
7493,5168-MSWXT,8,94.75,759.55,0
7494,1090-ESELR,72,105.5,7611.55,0
7495,8592-PLTMQ,64,24.7,1642.75,0
7496,5760-WRAHC,22,69.75,1545.4,0
7497,8847-GEOOQ,60,60.2,3582.4,0
7498,0256-LTHVJ,28,81.05,2227.1,1
7499,8313-NDOIA,24,104.15,2494.65,0
7500,5149-CUZUJ,28,92.9,2768.35,0
7501,0942-KOWSM,30,80.8,2369.3,0
7502,4785-FCIFB,61,24.4,1417.9,0
7503,4237-CLSMM,2,20.0,38.0,0
7504,4719-UMSIY,6,19.65,100.9,0
7505,6614-VBEGU,24,69.45,1614.05,0
7506,0880-TKATG,4,101.15,385.9,1
7507,3811-VBYBZ,7,99.8,673.25,1
7508,1480-BKXGA,72,116.05,8404.9,0
7509,2996-XAUVF,70,40.05,2799.75,0
7510,9076-AXYIK,64,102.1,6538.45,0
7511,5968-XQIVE,72,89.7,6588.95,0
7512,8896-RAZCR,44,19.9,868.1,0
7513,4640-UHDOS,13,55.95,734.35,1
7514,4933-IKULF,17,20.65,330.6,0
7515,3583-EKAPL,1,55.0,55.0,1
7516,1304-BCCFO,9,70.05,564.4,0
7517,4104-PVRPS,24,53.6,1315.35,0
7518,9399-APLBT,1,74.7,74.7,1
7519,2359-KMGLI,24,80.25,1861.5,1
7520,3780-DDGSE,35,76.05,2747.2,0
7521,4431-EDMIQ,7,75.7,554.05,0
7522,0306-JAELE,5,96.1,453.4,1
7523,6227-HWPWX,15,69.0,994.8,1
7524,0486-LGCCH,11,19.65,225.75,0
7525,0447-BEMNG,48,45.3,2145.0,1
7526,4612-SSVHJ,20,81.45,1671.6,0
7527,5168-MQQCA,72,108.5,8003.8,0
7528,5949-XIKAE,8,83.55,680.05,1
7529,7971-HLVXI,72,84.5,6130.85,0
7530,9094-AZPHK,15,100.15,1415.0,0
7531,3649-JPUGY,72,88.6,6201.95,0
7532,4472-LVYGI,0,52.55,0.0,0
7533,8372-JUXUI,1,74.35,74.35,1
7534,3552-CTCYF,63,104.8,6597.25,0
7535,6778-YSNIH,2,59.0,114.15,0
7536,0388-EOPEX,2,74.4,139.4,1
7537,5756-OZRIO,61,64.05,3902.6,0
7538,6579-JPICP,1,20.4,20.4,0
7539,8205-OTCHB,22,43.75,903.6,1
7540,4134-BSXLX,28,60.9,1785.65,0
7541,0505-SPOOW,70,19.8,1397.65,0
7542,6235-VDHOM,5,28.45,131.05,1
7543,7783-YKGDV,12,99.7,1238.45,1
7544,4374-YMUSQ,34,116.25,3899.05,0
7545,4513-CXYIX,71,80.7,5676.0,0
7546,3957-HHLMR,70,65.2,4543.15,0
7547,7803-XOCCZ,52,84.05,4326.8,0
7548,5736-YEJAX,69,79.45,5502.55,0
7549,5609-CEBID,20,94.1,1782.4,1
7550,8981-FJGLA,11,78.0,851.8,0
7551,7218-HKQFK,2,94.2,167.5,1
7552,4636-QRJKY,6,80.5,502.85,1
7553,4332-MUOEZ,20,94.3,1818.3,0
7554,8535-SFUTN,61,106.45,6300.15,0
7555,5956-VKDTT,5,74.35,334.8,1
7556,8677-HDZEE,56,105.45,5916.95,0
7557,2475-MROZF,30,95.0,2852.4,0
7558,1135-LMECX,1,19.85,19.85,0
7559,9412-GHEEC,40,104.8,4131.95,1
7560,3482-ABPKK,28,54.3,1546.3,0
7561,6705-LXORM,5,70.05,302.6,0
7562,0257-ZESQC,27,75.2,1929.35,1
7563,7531-GQHME,12,20.05,265.45,0
7564,5174-ITUMV,67,105.4,6989.45,0
7565,4109-CYRBD,29,51.6,1442.0,0
7566,0913-XWSCN,55,85.5,4713.4,0
7567,6825-UYPFK,23,75.6,1758.6,1
7568,8397-MVTAZ,34,100.05,3480.0,1
7569,0750-EBAIU,52,91.25,4738.3,0
7570,8606-CIQUL,72,115.75,8399.15,0
7571,3571-DPYUH,58,94.7,5430.35,0
7572,7601-GNDYK,35,19.6,686.95,0
7573,0356-OBMAC,56,99.9,5706.3,0
7574,8067-NIOYM,24,21.1,490.65,0
7575,1403-GYAFU,70,20.05,1360.25,0
7576,4234-XTNEA,2,79.95,174.45,0
7577,1297-VQDRP,68,107.15,7379.8,0
7578,9282-IZGQK,1,85.0,85.0,1
7579,5348-CAGXB,12,89.55,1021.75,0
7580,0621-HJWXJ,63,81.55,5029.05,0
7581,5844-QVTAT,33,58.45,1955.4,0
7582,8905-IAZPF,69,95.65,6744.2,0
7583,5394-MEITZ,60,80.6,4946.7,0
7584,6859-QNXIQ,72,113.1,8248.5,0
7585,2782-LFZVW,11,58.95,601.6,0
7586,2866-IKBTM,1,19.55,19.55,0
7587,1342-JPNKI,10,86.05,834.1,1
7588,2817-NTQDO,13,45.55,597.0,1
7589,7129-AZJDE,34,78.95,2647.2,0
7590,6986-IJDHX,39,86.3,3266.0,1
7591,2560-PPCHE,65,105.05,6744.25,0
7592,4676-MQUEA,50,101.9,5265.5,0
7593,8138-EALND,15,19.75,311.6,0
7594,3580-HYCSP,72,110.3,7966.9,0
7595,1352-HNSAW,72,115.6,8220.4,0
7596,2075-PUEPR,55,19.35,1153.25,0
7597,1982-FEBTD,23,25.6,514.75,0
7598,5301-GAUUY,32,80.35,2596.15,1
7599,5791-KAJFD,56,68.75,3808.0,0
7600,2654-VBVPB,1,19.9,19.9,0
7601,1154-HYWWO,38,70.6,2708.2,0
7602,2501-XWWTZ,11,70.2,760.05,0
7603,3716-UVSPD,1,49.3,49.3,0
7604,6815-ABQFQ,56,107.25,6033.3,0
7605,7343-EOBEU,3,23.6,89.05,0
7606,3701-SFMUH,7,69.7,516.15,0
7607,6103-LIANB,59,99.5,5861.75,0
